question,intent
How did serfdom develop in and then leave Russia ?,HowTo
What films featured the character Popeye Doyle ?,Fact
How can I find a list of celebrities ' real names ?,HowTo
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,Fact
What is the full form of .com ?,Definition
What contemptible scoundrel stole the cork from my lunch ?,Fact
What team did baseball 's St. Louis Browns become ?,Fact
What is the oldest profession ?,Fact
What are liver enzymes ?,Definition
Name the scar-faced bounty hunter of The Old West .,Fact
When was Ozzy Osbourne born ?,Fact
Why do heavier objects travel downhill faster ?,Reason
Who was The Pride of the Yankees ?,Fact
Who killed Gandhi ?,Fact
What is considered the costliest disaster the insurance industry has ever faced ?,Fact
What sprawling U.S. state boasts the most airports ?,Fact
What did the only repealed amendment to the U.S. Constitution deal with ?,Definition
How many Jews were executed in concentration camps during WWII ?,HowTo
What is `` Nine Inch Nails '' ?,Definition
What is an annotated bibliography ?,Definition
What is the date of Boxing Day ?,Fact
What articles of clothing are tokens in Monopoly ?,Fact
Name 11 famous martyrs .,Fact
What 's the Olympic motto ?,Definition
What is the origin of the name ` Scarlett ' ?,Definition
What 's the second-most-used vowel in English ?,Fact
Who was the inventor of silly putty ?,Fact
What is the highest waterfall in the United States ?,Fact
Name a golf course in Myrtle Beach .,Fact
Which two states enclose Chesapeake Bay ?,Fact
What does the abbreviation AIDS stand for ?,Definition
What does a spermologer collect ?,Fact
How many points make up a perfect fivepin bowling score ?,HowTo
Which company that manufactures video-game hardware sells the `` super system '' ?,Fact
How many Community Chest cards are there in Monopoly ?,HowTo
What do Mormons believe ?,Definition
When did the neanderthal man live ?,Fact
In what religion was Isis the nature goddess ?,Fact
Where do the adventures of `` The Swiss Family Robinson '' take place ?,Fact
What relative of the racoon is sometimes known as the cat-bear ?,Fact
How can I register my website in Yahoo for free ?,HowTo
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,Fact
How many people in the world speak French ?,HowTo
How many inches over six feet is the Venus de Milo ?,HowTo
How do they find or choose witnesses to an execution ?,HowTo
What 1920s cowboy star rode Tony the Wonder Horse ?,Fact
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,Fact
What ISPs exist in the Caribbean ?,Fact
How do you ask a total stranger out on a date ?,HowTo
What weapon is the mythological character Apollo most proficient with ?,Fact
What country do the Galapagos Islands belong to ?,Fact
What is ethology ?,Definition
Who was the prophet of the Muslim people ?,Fact
Where did the term `` 86ed '' come from ?,Fact
Who is Snoopy 's arch-enemy ?,Fact
What is the nature of learning ?,Definition
What 's the only color Johnny Cash wears on stage ?,Fact
What 's the term for a young fox ?,Fact
What U.S. state lived under six flags ?,Fact
What is the Kashmir issue ?,Definition
Where is the Loop ?,Fact
What does `` extended definition '' mean and how would one write a paper on it ?,Definition
What country 's capital is Tirana ?,Fact
What is titanium ?,Definition
Who do Herb and Tootsie live next door to ?,Fact
Which city has the oldest relationship as a sister city with Los Angeles ?,Fact
What is a caldera ?,Definition
Why do people get calluses ?,Reason
What are the names of the tourist attractions in Reims ?,Fact
What are Cushman and Wakefield known for ?,Definition
What body of water does the Danube River flow into ?,Fact
Who is the founder of Scientology ?,Fact
What does the six-footed Musca domestica become when it enters a house ?,Fact
What is the history of skateboarding ?,Definition
Who starred in Singing in the Rain and The Singing Nun ?,Fact
How do I make fuel bricks from recycled newspaper ?,HowTo
What 19th-century painter died in the Marquesas Islands ?,Fact
The corpus callosum is in what part of the body ?,Fact
How do I log on to home page at Headquarters U.S. European Command ?,HowTo
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",Fact
What is Nebraska 's most valuable resource ?,Fact
How many species of the Great White shark are there ?,HowTo
What is the origin of head lice ?,Definition
What is the nickname for the state of Mississippi ?,Fact
What was the first domesticated bird ?,Fact
How many villi are found in the small intestine ?,HowTo
What country did King Wenceslas rule ?,Fact
What is a fear of shadows ?,Fact
Who were the five Marx brothers ?,Fact
In which year was New Zealand excluded from the ANZUS alliance ?,Fact
When did CNN begin broadcasting ?,Fact
What causes the body to shiver in cold temperatures ?,Definition
What are bear and bull markets ?,Definition
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,Fact
What is `` dew point '' ?,Definition
What is the meaning of Jesus ?,Definition
What company 's logo is a `` W '' in a circle ?,Fact
What is the definition of a cascade ?,Definition
When did Rococo painting and architecture flourish ?,Fact
What country 's national passenger rail system is called Via ?,Fact
Who invented Make-up ?,Fact
What is the origin of the word `` attic '' ?,Definition
What did Delilah do to Samson 's hair ?,Definition
What kind of animals were in the Paleozoic era ?,Fact
Which of the following was Rhodes Scholar ?,Fact
Who comprised the now-defunct comic book team known as the Champions ?,Fact
How do you make a paintball ?,HowTo
What U.S. state is Fort Knox in ?,Fact
What is a female rabbit called ?,Fact
Where is the highest point in Japan ?,Fact
Where do chihuahuas come from ?,Fact
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,Fact
What are the world 's four oceans ?,Fact
What 's the only work by Michelangelo that bears his signature ?,Fact
What is the largest snake in the world ?,Fact
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,Fact
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,Fact
How much money does a back injury lawsuit get ?,HowTo
What 's the common name for acetylsalicylic acid ?,Fact
What does the Georgetown `` Hoya '' mean ?,Definition
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,Fact
Which two products use a tiger as their symbol ?,Fact
How is the election of a new Pope announced to the world ?,HowTo
How long does it take for your blood to make one complete trip through the body ?,HowTo
How do chickens have baby chicks ?,HowTo
What is the historical relationship of Catholic Church and bingo ?,Definition
How was the element calcium named ?,HowTo
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,Fact
What piano company claims its product is the `` Instrument of the immortals '' ?,Fact
When did the Bounty mutiny take place ?,Fact
What novel inspired the movie BladeRunner ?,Fact
What is a transistor ?,Definition
What is a film starring Jude Law ?,Fact
What Hollywood dog died in the arms of Jean Harlow in 1932 ?,Fact
What are the most common elements in the Earth 's crust ?,Fact
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",HowTo
What actress has received the most Oscar nominations ?,Fact
What are equity securities ?,Definition
What is gymnophobia ?,Definition
How many years do fossils take to form ?,HowTo
Where is the Orinoco ?,Fact
What was the name of the `` Little Rascals '' dog ?,Fact
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",Fact
What Broadway musical was inspired by Cervantes 's Don Quixote ?,Fact
"What is the origin of the word , JJ .",Definition
How many hostages were killed in the Entebbe raid ?,HowTo
How you can raise your IQ ?,HowTo
What does INRI stand for when used on Jesus ' cross ?,Definition
Who produces Spumante ?,Fact
Who earns their money the hard way ?,Fact
Who founded the People 's Temple Commune ?,Fact
What athlete makes the most money from sports merchandise sales ?,Fact
How many bends are there in a standard paper clip ?,HowTo
Who discovered electricity ?,Fact
What part of your body contains the corpus callosum ?,Fact
Who was the first American in space ?,Fact
What two South American countries do n't border Brazil ?,Fact
What album put The Beatles on the cover of Time in 1967 ?,Fact
"What poem contains the line , `` grow old with me the best is yet to be '' .",Fact
What is a dental root canal ?,Definition
What war did the Wanna-Go-Home Riots occur after ?,Fact
What is the busiest air travel season ?,Fact
What 's the colored part of the eye called ?,Fact
What are hook worms ?,Definition
Where is the Rose Bowl played ?,Fact
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,Fact
Who is the mayor of Marbella ?,Fact
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",Fact
In what year did Thatcher become prime minister ?,Fact
How many months does it take the moon to revolve around the Earth ?,HowTo
Where are the 49 steps ?,Fact
In what year was De Gaulle elected president of France ?,Fact
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,Fact
Who directed `` Jaws '' ?,Fact
On what T.V. show could Tom Terrific be found ?,Fact
What Indian tribe is F Troop perpetually doing battle with ?,Fact
Where did Indian Pudding come from ?,Fact
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,Reason
How many colonies were involved in the American Revolution ?,HowTo
What is the name of the city that Maurizio Pellegrin lives in ?,Fact
Where can I find pictorial directions on how to build a very simple treehouse ?,Fact
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",Fact
What is the name of the managing director of Apricot Computer ?,Fact
What is the occupation of Nicholas Cage ?,Fact
Why do horseshoes bring luck ?,Reason
"What is the 401 , K , plan ?",Definition
What causes pneumonia ?,Definition
What are the three winter months in the southern hemisphere ?,Fact
What does gringo mean ?,Definition
What country contains Africa 's northernmost point ?,Fact
What therapy attempts to elicit the `` primal scream '' ?,Fact
Where is the Kalahari desert ?,Fact
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,Fact
What city is sometimes called Gotham ?,Fact
What dangles over the tongue from the palate ?,Fact
Who created Dennis the Menace ?,Fact
What dummy received an honorary degree from Northwestern University ?,Fact
When was the first Wall Street Journal published ?,Fact
What countries have the largest areas of forest ?,Fact
How do I start a web based business ?,HowTo
Name Alvin 's brothers,Fact
What is Eagle 's syndrome styloid process ?,Definition
How did Jayne Mansfield die ?,HowTo
When did the royal wedding of Prince Andrew and Fergie take place ?,Fact
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,Fact
What explorer was nicknamed Iberia 's Pilot ?,Fact
